agency_cd,site_no,Date,Stream_Stage_(feet),23906_00065_00003_cd,Discharge_CFS,23907_00060_00003_cd
USGS,2290768,2000-01-01,5.63,A,944,A
USGS,2290768,2000-01-02,5.63,A,926,A
USGS,2290768,2000-01-03,5.61,A,934,A
USGS,2290768,2000-01-04,5.58,A,930,A
USGS,2290768,2000-01-05,5.58,A,924,A
USGS,2290768,2000-01-06,5.64,A,952,A
USGS,2290768,2000-01-07,5.62,A,954,A
USGS,2290768,2000-01-08,5.6,A,951,A
USGS,2290768,2000-01-09,5.57,A,950,A
USGS,2290768,2000-01-10,5.55,A,941,A
USGS,2290768,2000-01-11,5.55,A,947,A
USGS,2290768,2000-01-12,5.55,A,939,A
USGS,2290768,2000-01-13,5.53,A,934,A
USGS,2290768,2000-01-14,5.45,A,1050,A
USGS,2290768,2000-01-15,5.47,A,1180,A
USGS,2290768,2000-01-16,5.56,A,1220,A
USGS,2290768,2000-01-17,5.55,A,1190,A
USGS,2290768,2000-01-18,5.51,A,1200,A
USGS,2290768,2000-01-19,5.62,A,1100,A
USGS,2290768,2000-01-20,5.66,A,1080,A
USGS,2290768,2000-01-21,5.69,A,1060,A
USGS,2290768,2000-01-22,5.67,A,1060,A
USGS,2290768,2000-01-23,5.66,A,1080,A
USGS,2290768,2000-01-24,5.56,A,1010,A
USGS,2290768,2000-01-25,5.15,A,870,A
USGS,2290768,2000-01-26,5.08,A,876,A
USGS,2290768,2000-01-27,5.18,A,914,A
USGS,2290768,2000-01-28,5.27,A,954,A
USGS,2290768,2000-01-29,5.28,A,969,A
USGS,2290768,2000-01-30,5.27,A,959,A
USGS,2290768,2000-01-31,5.34,A,942,A
USGS,2290768,2000-02-01,5.53,A,932,A
USGS,2290768,2000-02-02,5.54,A,930,A
USGS,2290768,2000-02-03,5.6,A,981,A
USGS,2290768,2000-02-04,5.65,A,963,A
USGS,2290768,2000-02-05,5.64,A:e,965,A:e
USGS,2290768,2000-02-06,5.62,A,958,A
USGS,2290768,2000-02-07,5.58,A,1000,A
USGS,2290768,2000-02-08,5.53,A,1030,A
USGS,2290768,2000-02-09,5.6,A,1010,A
USGS,2290768,2000-02-10,5.6,A,1020,A
USGS,2290768,2000-02-11,5.64,A,1050,A
USGS,2290768,2000-02-12,5.64,A,1060,A
USGS,2290768,2000-02-13,5.6,A,1040,A
USGS,2290768,2000-02-14,5.55,A,1010,A
USGS,2290768,2000-02-15,5.62,A,1050,A
USGS,2290768,2000-02-16,5.62,A,1060,A
USGS,2290768,2000-02-17,5.64,A,788,A
USGS,2290768,2000-02-18,5.7,A,427,A
USGS,2290768,2000-02-19,5.73,A,402,A
USGS,2290768,2000-02-20,5.75,A,390,A
USGS,2290768,2000-02-21,5.77,A,386,A
USGS,2290768,2000-02-22,5.75,A,378,A
USGS,2290768,2000-02-23,5.74,A,378,A
USGS,2290768,2000-02-24,5.74,A,386,A
USGS,2290768,2000-02-25,5.75,A,393,A
USGS,2290768,2000-02-26,5.75,A,407,A
USGS,2290768,2000-02-27,5.74,A,403,A
USGS,2290768,2000-02-28,5.73,A,400,A
USGS,2290768,2000-02-29,5.73,A,405,A
USGS,2290768,2000-03-01,5.71,A,399,A
USGS,2290768,2000-03-02,5.71,A,402,A
USGS,2290768,2000-03-03,5.68,A,402,A
USGS,2290768,2000-03-04,5.66,A,396,A
USGS,2290768,2000-03-05,5.65,A,385,A
USGS,2290768,2000-03-06,5.61,A,394,A
USGS,2290768,2000-03-07,5.58,A,389,A
USGS,2290768,2000-03-08,5.59,A,405,A
USGS,2290768,2000-03-09,5.56,A,406,A
USGS,2290768,2000-03-10,5.53,A,399,A
USGS,2290768,2000-03-11,5.53,A,390,A
USGS,2290768,2000-03-12,5.55,A,387,A
USGS,2290768,2000-03-13,5.52,A,393,A
USGS,2290768,2000-03-14,5.48,A,377,A
USGS,2290768,2000-03-15,5.44,A,394,A
USGS,2290768,2000-03-16,5.42,A,371,A
USGS,2290768,2000-03-17,5.38,A,368,A
USGS,2290768,2000-03-18,5.35,A,375,A
USGS,2290768,2000-03-19,5.44,A,377,A
USGS,2290768,2000-03-20,5.48,A,387,A
USGS,2290768,2000-03-21,5.44,A,381,A
USGS,2290768,2000-03-22,5.38,A,382,A
USGS,2290768,2000-03-23,5.32,A,376,A
USGS,2290768,2000-03-24,5.21,A,498,A
USGS,2290768,2000-03-25,5.2,A,553,A
USGS,2290768,2000-03-26,5.18,A,541,A
USGS,2290768,2000-03-27,5.23,A,502,A
USGS,2290768,2000-03-28,5.43,A,477,A
USGS,2290768,2000-03-29,5.43,A,481,A
USGS,2290768,2000-03-30,5.41,A,482,A
USGS,2290768,2000-03-31,5.4,A,499,A
USGS,2290768,2000-04-01,5.39,A,494,A
USGS,2290768,2000-04-02,5.37,A,491,A
USGS,2290768,2000-04-03,5.33,A,487,A
USGS,2290768,2000-04-04,5.47,A,541,A
USGS,2290768,2000-04-05,5.87,A,594,A
USGS,2290768,2000-04-06,5.76,A,585,A
USGS,2290768,2000-04-07,5.64,A,572,A
USGS,2290768,2000-04-08,5.66,A,557,A
USGS,2290768,2000-04-09,5.84,A,553,A
USGS,2290768,2000-04-10,5.75,A,521,A
USGS,2290768,2000-04-11,5.62,A,497,A
USGS,2290768,2000-04-12,5.61,A,416,A
USGS,2290768,2000-04-13,5.75,A,333,A
USGS,2290768,2000-04-14,5.89,A,370,A
USGS,2290768,2000-04-15,5.89,A,286,A
USGS,2290768,2000-04-16,5.88,A,294,A
USGS,2290768,2000-04-17,5.9,A,281,A
USGS,2290768,2000-04-18,5.87,A,278,A
USGS,2290768,2000-04-19,5.87,A,289,A
USGS,2290768,2000-04-20,5.87,A:e,290,A:e
USGS,2290768,2000-04-21,5.84,A:e,295,A:e
USGS,2290768,2000-04-22,5.83,A:e,274,A:e
USGS,2290768,2000-04-23,5.81,A,278,A
USGS,2290768,2000-04-24,5.78,A,248,A
USGS,2290768,2000-04-25,5.61,A,489,A
USGS,2290768,2000-04-26,5.59,A,639,A
USGS,2290768,2000-04-27,5.58,A,602,A
USGS,2290768,2000-04-28,5.54,A,630,A
USGS,2290768,2000-04-29,5.5,A,664,A
USGS,2290768,2000-04-30,5.48,A,660,A
USGS,2290768,2000-05-01,5.49,A,673,A
USGS,2290768,2000-05-02,5.58,A,731,A
USGS,2290768,2000-05-03,5.59,A,806,A
USGS,2290768,2000-05-04,5.6,A,761,A
USGS,2290768,2000-05-05,5.68,A,716,A
USGS,2290768,2000-05-06,5.71,A,687,A
USGS,2290768,2000-05-07,5.7,A,690,A
USGS,2290768,2000-05-08,5.62,A,732,A
USGS,2290768,2000-05-09,5.6,A,717,A
USGS,2290768,2000-05-10,5.57,A,710,A
USGS,2290768,2000-05-11,5.54,A,714,A
USGS,2290768,2000-05-12,5.61,A,636,A
USGS,2290768,2000-05-13,5.76,A,544,A
USGS,2290768,2000-05-14,5.76,A,534,A
USGS,2290768,2000-05-15,5.81,A,471,A
USGS,2290768,2000-05-16,5.85,A,433,A
USGS,2290768,2000-05-17,5.79,A,389,A
USGS,2290768,2000-05-18,5.67,A,353,A
USGS,2290768,2000-05-19,5.33,A,199,A
USGS,2290768,2000-05-20,5.47,A,132,A
USGS,2290768,2000-05-21,5.3,A,184,A
USGS,2290768,2000-05-22,5.21,A,246,A
USGS,2290768,2000-05-23,5.31,A,395,A
USGS,2290768,2000-05-24,5.37,A,481,A
USGS,2290768,2000-05-25,5.45,A,489,A
USGS,2290768,2000-05-26,5.55,A,493,A
USGS,2290768,2000-05-27,5.67,A,439,A
USGS,2290768,2000-05-28,5.68,A,435,A
USGS,2290768,2000-05-29,5.67,A,437,A
USGS,2290768,2000-05-30,5.65,A,439,A
USGS,2290768,2000-05-31,5.68,A,433,A
USGS,2290768,2000-06-01,5.63,A,412,A
USGS,2290768,2000-06-02,5.55,A,392,A
USGS,2290768,2000-06-03,5.64,A,361,A
USGS,2290768,2000-06-04,5.62,A,350,A
USGS,2290768,2000-06-05,5.63,A,342,A
USGS,2290768,2000-06-06,5.72,A,316,A
USGS,2290768,2000-06-07,5.67,A,321,A
USGS,2290768,2000-06-08,5.31,A,298,A
USGS,2290768,2000-06-09,5.4,A,251,A
USGS,2290768,2000-06-10,5.38,A,234,A
USGS,2290768,2000-06-11,5.41,A,247,A
USGS,2290768,2000-06-12,5.44,A,267,A
USGS,2290768,2000-06-13,5.41,A,265,A
USGS,2290768,2000-06-14,5.36,A,231,A
USGS,2290768,2000-06-15,5.32,A,236,A
USGS,2290768,2000-06-16,5.28,A,222,A
USGS,2290768,2000-06-17,5.23,A,193,A
USGS,2290768,2000-06-18,5.29,A,233,A
USGS,2290768,2000-06-19,5.36,A,251,A
USGS,2290768,2000-06-20,5.31,A,229,A
USGS,2290768,2000-06-21,5.27,A,198,A
USGS,2290768,2000-06-22,5.23,A,196,A
USGS,2290768,2000-06-23,5.21,A,206,A
USGS,2290768,2000-06-24,5.41,A,257,A
USGS,2290768,2000-06-25,5.49,A,268,A
USGS,2290768,2000-06-26,5.48,A,267,A
USGS,2290768,2000-06-27,5.58,A,225,A:e
USGS,2290768,2000-06-28,5.59,A,206,A:e
USGS,2290768,2000-06-29,5.57,A:e,265,A:e
USGS,2290768,2000-06-30,5.54,A,247,A
USGS,2290768,2000-07-01,5.53,A,236,A
USGS,2290768,2000-07-02,5.58,A,199,A
USGS,2290768,2000-07-03,5.63,A,237,A
USGS,2290768,2000-07-04,5.63,A,251,A
USGS,2290768,2000-07-05,5.62,A,248,A
USGS,2290768,2000-07-06,5.61,A,211,A
USGS,2290768,2000-07-07,5.6,A,189,A
USGS,2290768,2000-07-08,5.66,A,228,A
USGS,2290768,2000-07-09,5.79,A,220,A
USGS,2290768,2000-07-10,5.75,A,350,A
USGS,2290768,2000-07-11,5.51,A,503,A
USGS,2290768,2000-07-12,5.49,A,519,A
USGS,2290768,2000-07-13,5.49,A,523,A
USGS,2290768,2000-07-14,5.5,A,491,A
USGS,2290768,2000-07-15,5.58,A,473,A
USGS,2290768,2000-07-16,5.6,A,471,A
USGS,2290768,2000-07-17,5.6,A,476,A
USGS,2290768,2000-07-18,5.66,A,467,A
USGS,2290768,2000-07-19,5.66,A,462,A
USGS,2290768,2000-07-20,5.64,A,485,A
USGS,2290768,2000-07-21,5.68,A:e,500,A:e
USGS,2290768,2000-07-22,5.78,A,493,A
USGS,2290768,2000-07-23,5.79,A,492,A
USGS,2290768,2000-07-24,5.73,A,625,A
USGS,2290768,2000-07-25,5.62,A,719,A
USGS,2290768,2000-07-26,5.56,A,736,A
USGS,2290768,2000-07-27,5.54,A,742,A
USGS,2290768,2000-07-28,5.55,A,689,A
USGS,2290768,2000-07-29,5.54,A,687,A
USGS,2290768,2000-07-30,5.48,A,693,A
USGS,2290768,2000-07-31,5.59,A,529,A
USGS,2290768,2000-08-01,5.78,A,431,A
USGS,2290768,2000-08-02,5.99,A,346,A
USGS,2290768,2000-08-03,6.24,A,281,A
USGS,2290768,2000-08-04,6.02,A,390,A
USGS,2290768,2000-08-05,5.81,A,450,A
USGS,2290768,2000-08-06,5.86,A,421,A
USGS,2290768,2000-08-07,5.81,A,463,A
USGS,2290768,2000-08-08,5.76,A,539,A
USGS,2290768,2000-08-09,5.75,A,553,A
USGS,2290768,2000-08-10,5.75,A,558,A
USGS,2290768,2000-08-11,5.75,A,528,A
USGS,2290768,2000-08-12,5.75,A,497,A
USGS,2290768,2000-08-13,5.73,A,465,A
USGS,2290768,2000-08-14,5.74,A,453,A
USGS,2290768,2000-08-15,5.8,A,470,A
USGS,2290768,2000-08-16,5.82,A,453,A
USGS,2290768,2000-08-17,5.79,A,456,A
USGS,2290768,2000-08-18,5.78,A,448,A
USGS,2290768,2000-08-19,5.81,A,445,A
USGS,2290768,2000-08-20,5.82,A,450,A
USGS,2290768,2000-08-21,5.82,A,452,A
USGS,2290768,2000-08-22,5.77,A,495,A
USGS,2290768,2000-08-23,5.49,A,669,A
USGS,2290768,2000-08-24,5.37,A,630,A
USGS,2290768,2000-08-25,5.55,A,489,A
USGS,2290768,2000-08-26,5.66,A,453,A
USGS,2290768,2000-08-27,5.71,A,424,A
USGS,2290768,2000-08-28,5.7,A,428,A:e
USGS,2290768,2000-08-29,5.71,A,395,A:e
USGS,2290768,2000-08-30,5.65,A,425,A
USGS,2290768,2000-08-31,5.66,A,432,A
USGS,2290768,2000-09-01,5.72,A,404,A
USGS,2290768,2000-09-02,5.7,A,409,A
USGS,2290768,2000-09-03,5.66,A,405,A
USGS,2290768,2000-09-04,5.62,A,403,A
USGS,2290768,2000-09-05,5.57,A,404,A
USGS,2290768,2000-09-06,5.65,A,345,A
USGS,2290768,2000-09-07,5.85,A,358,A
USGS,2290768,2000-09-08,5.74,A,398,A
USGS,2290768,2000-09-09,5.69,A,402,A
USGS,2290768,2000-09-10,5.72,A,397,A
USGS,2290768,2000-09-11,5.77,A,412,A
USGS,2290768,2000-09-12,5.79,A,383,A
USGS,2290768,2000-09-13,5.73,A,410,A
USGS,2290768,2000-09-14,5.71,A,396,A
USGS,2290768,2000-09-15,5.74,A,401,A
USGS,2290768,2000-09-16,5.69,A,447,A
USGS,2290768,2000-09-17,5.6,A,492,A
USGS,2290768,2000-09-18,5.67,A,481,A
USGS,2290768,2000-09-19,5.72,A,451,A
USGS,2290768,2000-09-20,5.83,A,438,A
USGS,2290768,2000-09-21,5.8,A,440,A
USGS,2290768,2000-09-22,5.77,A,438,A
USGS,2290768,2000-09-23,5.74,A,438,A
USGS,2290768,2000-09-24,5.7,A,426,A
USGS,2290768,2000-09-25,5.65,A,425,A
USGS,2290768,2000-09-26,5.64,A,427,A
USGS,2290768,2000-09-27,5.68,A,415,A
USGS,2290768,2000-09-28,5.69,A,409,A
USGS,2290768,2000-09-29,5.73,A,416,A
USGS,2290768,2000-09-30,5.74,A,417,A
USGS,2290768,2000-10-01,5.77,A,409,A
USGS,2290768,2000-10-02,5.79,A,450,A
USGS,2290768,2000-10-03,6.41,A:e,175,A:e
USGS,2290768,2000-10-04,7.65,A:e,-184,A:e
USGS,2290768,2000-10-05,7.53,A:e,-58,A:e
USGS,2290768,2000-10-06,7.42,A:e,126,A:e
USGS,2290768,2000-10-07,7.41,A:e,219,A:e
USGS,2290768,2000-10-08,7.29,A:e,266,A:e
USGS,2290768,2000-10-09,7.05,A:e,462,A:e
USGS,2290768,2000-10-10,6.82,A:e,505,A:e
USGS,2290768,2000-10-11,6.37,A:e,810,A:e
USGS,2290768,2000-10-12,6.03,A:e,883,A:e
USGS,2290768,2000-10-13,5.83,A:e,939,A:e
USGS,2290768,2000-10-14,5.77,A:e,941,A:e
USGS,2290768,2000-10-15,5.71,A:e,961,A:e
USGS,2290768,2000-10-16,5.68,A:e,989,A:e
USGS,2290768,2000-10-17,5.67,A:e,1010,A:e
USGS,2290768,2000-10-18,5.72,A:e,952,A:e
USGS,2290768,2000-10-19,5.7,A:e,916,A:e
USGS,2290768,2000-10-20,5.67,A:e,892,A:e
USGS,2290768,2000-10-21,5.66,A,867,A
USGS,2290768,2000-10-22,5.65,A,873,A
USGS,2290768,2000-10-23,5.79,A,623,A
USGS,2290768,2000-10-24,5.84,A,454,A
USGS,2290768,2000-10-25,5.8,A,496,A
USGS,2290768,2000-10-26,5.76,A,494,A
USGS,2290768,2000-10-27,5.74,A,498,A
USGS,2290768,2000-10-28,5.74,A,498,A
USGS,2290768,2000-10-29,5.74,A,496,A
USGS,2290768,2000-10-30,5.76,A,505,A
USGS,2290768,2000-10-31,5.76,A,504,A
USGS,2290768,2000-11-01,5.76,A,505,A
USGS,2290768,2000-11-02,5.73,A,499,A
USGS,2290768,2000-11-03,5.71,A,503,A
USGS,2290768,2000-11-04,5.7,A,503,A
USGS,2290768,2000-11-05,5.72,A,514,A
USGS,2290768,2000-11-06,5.7,A,511,A
USGS,2290768,2000-11-07,5.69,A,514,A
USGS,2290768,2000-11-08,5.71,A,509,A
USGS,2290768,2000-11-09,5.68,A,513,A
USGS,2290768,2000-11-10,5.67,A,520,A
USGS,2290768,2000-11-11,5.65,A,508,A
USGS,2290768,2000-11-12,5.64,A,506,A
USGS,2290768,2000-11-13,5.63,A,495,A
USGS,2290768,2000-11-14,5.67,A,468,A
USGS,2290768,2000-11-15,5.8,A,354,A
USGS,2290768,2000-11-16,5.94,A,267,A
USGS,2290768,2000-11-17,5.95,A,272,A
USGS,2290768,2000-11-18,5.95,A,270,A
USGS,2290768,2000-11-19,5.94,A,265,A
USGS,2290768,2000-11-20,5.97,A,266,A
USGS,2290768,2000-11-21,5.84,A,372,A
USGS,2290768,2000-11-22,5.66,A,422,A
USGS,2290768,2000-11-23,5.62,A,410,A
USGS,2290768,2000-11-24,5.58,A,405,A
USGS,2290768,2000-11-25,5.57,A,403,A
USGS,2290768,2000-11-26,5.58,A,394,A
USGS,2290768,2000-11-27,5.61,A,344,A
USGS,2290768,2000-11-28,5.63,A,332,A
USGS,2290768,2000-11-29,5.67,A,288,A
USGS,2290768,2000-11-30,5.74,A,268,A
USGS,2290768,2000-12-01,5.73,A,248,A
USGS,2290768,2000-12-02,5.71,A,252,A
USGS,2290768,2000-12-03,5.7,A,261,A
USGS,2290768,2000-12-04,5.69,A,254,A
USGS,2290768,2000-12-05,5.66,A,252,A
USGS,2290768,2000-12-06,5.63,A,258,A
USGS,2290768,2000-12-07,5.61,A,256,A
USGS,2290768,2000-12-08,5.7,A,173,A
USGS,2290768,2000-12-09,5.8,A,160,A
USGS,2290768,2000-12-10,6.01,A,183,A
USGS,2290768,2000-12-11,6.08,A,309,A
USGS,2290768,2000-12-12,6,A,327,A
USGS,2290768,2000-12-13,5.93,A,388,A
USGS,2290768,2000-12-14,5.89,A:e,390,A:e
USGS,2290768,2000-12-15,5.85,A,396,A
USGS,2290768,2000-12-16,5.82,A,394,A
USGS,2290768,2000-12-17,5.8,A,392,A
USGS,2290768,2000-12-18,5.77,A,378,A:e
USGS,2290768,2000-12-19,5.73,A,379,A
USGS,2290768,2000-12-20,5.69,A,372,A:e
USGS,2290768,2000-12-21,5.66,A,342,A
USGS,2290768,2000-12-22,5.88,A,140,A
USGS,2290768,2000-12-23,6.07,A,37,A
USGS,2290768,2000-12-24,6.09,A:e,38,A:e
USGS,2290768,2000-12-25,6.11,A,40,A
USGS,2290768,2000-12-26,6.09,A,50,A
USGS,2290768,2000-12-27,5.92,A,211,A
USGS,2290768,2000-12-28,5.66,A,299,A
USGS,2290768,2000-12-29,5.65,A,283,A
USGS,2290768,2000-12-30,5.62,A,273,A
USGS,2290768,2000-12-31,5.58,A,260,A
USGS,2290768,2001-01-01,5.53,A,262,A
USGS,2290768,2001-01-02,5.55,A,232,A
USGS,2290768,2001-01-03,5.61,A,202,A
USGS,2290768,2001-01-04,5.61,A,172,A
USGS,2290768,2001-01-05,5.54,A,243,A:e
USGS,2290768,2001-01-06,5.5,A,257,A
USGS,2290768,2001-01-07,5.47,A,255,A
USGS,2290768,2001-01-08,5.39,A,281,A
USGS,2290768,2001-01-09,5.39,A,260,A
USGS,2290768,2001-01-10,5.36,A,262,A
